,0,1,2
0,NORMAL2-IM-1154-0001-0001.jpeg,"[[5, 143, 121, 17], [5, 98, 58, 17], [0, 68, 85, 21], [1931, 31, 77, 17], [10, 31, 77, 17], [1926, 8, 43, 21], [5, 8, 43, 21]]",text
1,IM-0707-0001.jpeg,"[[5, 143, 121, 17], [5, 98, 58, 17], [0, 68, 74, 21], [1618, 31, 61, 17], [11, 31, 61, 17], [1612, 8, 46, 17], [5, 8, 46, 17]]",text
2,person489_bacteria_2063.jpeg,"[[5, 143, 121, 17], [5, 98, 62, 17], [0, 68, 74, 21], [1193, 31, 69, 17], [10, 31, 69, 17], [1187, 8, 38, 21], [0, 8, 42, 21]]",text
3,NORMAL2-IM-1267-0001.jpeg,"[[0, 143, 126, 17], [5, 98, 62, 17], [0, 68, 74, 21], [1825, 31, 57, 21], [10, 31, 57, 21], [1820, 8, 51, 17], [5, 8, 51, 17]]",text
4,person1063_bacteria_2997.jpeg,"[[6, 143, 118, 17], [5, 98, 58, 17], [0, 68, 61, 21], [1138, 31, 42, 17], [11, 31, 42, 17], [1132, 8, 80, 17], [5, 8, 80, 17]]",text
5,person507_bacteria_2139.jpeg,"[[5, 143, 121, 17], [5, 98, 58, 17], [0, 68, 74, 21], [794, 31, 50, 17], [11, 31, 50, 17], [788, 8, 69, 17], [5, 8, 69, 17]]",text
6,person607_virus_1173.jpeg,"[[5, 143, 121, 17], [5, 98, 62, 17], [0, 68, 74, 21], [1417, 31, 43, 21], [10, 31, 43, 21], [1411, 8, 53, 17], [0, 8, 57, 17]]",text
7,person1486_bacteria_3881.jpeg,"[[5, 143, 121, 17], [5, 98, 62, 17], [0, 68, 85, 21], [1210, 31, 78, 17], [11, 31, 78, 17], [1204, 8, 68, 17], [5, 8, 68, 17]]",text
8,NORMAL2-IM-1151-0001.jpeg,"[[5, 143, 121, 17], [5, 98, 62, 17], [0, 68, 74, 21], [1546, 31, 57, 17], [11, 31, 57, 17], [1540, 8, 65, 17], [5, 8, 65, 17]]",text
9,person1746_bacteria_4585.jpeg,"[[5, 143, 119, 17], [5, 98, 62, 17], [0, 68, 74, 21], [1978, 31, 74, 17], [11, 31, 74, 17], [1972, 8, 100, 17], [5, 8, 107, 17]]",text
10,person1628_bacteria_4295.jpeg,"[[5, 143, 121, 17], [5, 98, 62, 17], [0, 68, 85, 21], [1145, 31, 63, 17], [10, 31, 63, 17], [1140, 8, 65, 17], [5, 8, 65, 17]]",text
11,NORMAL2-IM-0274-0001.jpeg,"[[0, 143, 126, 17], [5, 98, 62, 17], [0, 68, 85, 21], [1552, 31, 53, 17], [11, 31, 53, 17], [1546, 8, 54, 17], [5, 8, 54, 17]]",text
